id,name,segment_ids,description,part_of
1,Abbo's Alley,31; 34; 35; 36; 48,,
2,Abbo's Alley Florida Ave. Access,49,,
3,"Abbos' Alley, Univ. Ave. Trail",32,,
4,Beckwith's Point Trail,20,,
5,Below Armfield Bluff,1,,
6,Bridal Veil Falls Trail,18,,
7,Caldwell Rim,27; 45; 46; 47,,
8,Cheston Trail,22,,
9,Green's View to Shakerag,19,,
10,Lake Cheston Loop,23,,
11,Lake Cheston Spur Trail,50,,
12,Lake Cheston Steps,39,,
13,Lake Dimmick Trail,28; 38; 40; 41; 42; 43; 44,,
14,Lost Cove Trail,54,,
15,Mtn Goat trail extension toward Monteagle,51,,
16,Perim. to Caldwin Rim Connector,30,,
17,Piney Point,26,,
18,Planned trail in C22,15,,
19,Seibels Bridge,33,,
20,Solomon's Temple,21; 37,,
21,Tennessee Williams,25,,
22,Trail to Cheston Cabin,52,,
23,Trail to Cheston Cabin from Day Lk Rd,53,,
24,Water Tower,29,,
25,Wiggins Creek Trail,24,,
26,firelane,1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1,,
